song_slug,era_label,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
amazing-grace,1.0 (1983–2000),113.0,0.017699115044247787,0.0,0.0,123.16749999999999,22.0
ambient-jam,1.0 (1983–2000),1.0,1.0,1.0,1.0,1443.2962799999998,31.0
american-woman,1.0 (1983–2000),1.0,0.0,0.0,0.0,364.931,26.0
amidst-the-peals-of-laughter,3.0 (2009–2020),1.0,0.0,0.0,0.0,103.131,23.0
amoreena,1.0 (1983–2000),1.0,0.0,0.0,0.0,363.468,1.0
anarchy,1.0 (1983–2000),12.0,0.0,0.0,0.0,51.696,18.0
and-flew-away,4.0 (2021–present),1.0,1.0,1.0,1.0,1400.4000000000005,11.0
and-so-to-bed,4.0 (2021–present),1.0,0.0,0.0,0.0,235.272,16.0
andy-s-chest,1.0 (1983–2000),1.0,0.0,0.0,0.0,363.8595,17.0
any-colour-you-like,1.0 (1983–2000),1.0,0.0,0.0,0.0,241.084,21.0
anything-but-me,2.0 (2003–2004),10.0,0.0,0.0,0.0,356.4145,6.5
anything-but-me,3.0 (2009–2020),2.0,0.0,0.0,0.0,362.697,5.5
arc,1.0 (1983–2000),1.0,1.0,0.0,0.0,874.397,5.0
architect,3.0 (2009–2020),4.0,0.0,0.0,0.0,387.161,14.5
army-of-one,2.0 (2003–2004),3.0,0.0,0.0,0.0,296.647,6.0
army-of-one,3.0 (2009–2020),19.0,0.0,0.0,0.0,287.922,6.0
army-of-one,4.0 (2021–present),5.0,0.0,0.0,0.0,288.72,6.0
art-jam,1.0 (1983–2000),1.0,1.0,0.0,0.0,603.115,15.0
ass-handed,3.0 (2009–2020),16.0,0.0625,0.0625,0.0,95.6865,9.0
ass-handed,4.0 (2021–present),3.0,0.0,0.0,0.0,325.032,8.0
auld-lang-syne,1.0 (1983–2000),12.0,0.16666666666666666,0.0,0.0,115.37,17.5
auld-lang-syne,2.0 (2003–2004),1.0,0.0,0.0,0.0,57.936,17.0
auld-lang-syne,3.0 (2009–2020),11.0,0.0,0.0,0.0,178.224,21.0
auld-lang-syne,4.0 (2021–present),4.0,0.0,0.0,0.0,113.586,22.0
auld-lang-syne,Other/Hiatus,1.0,0.0,0.0,0.0,46.707,18.0
autumn-leaves,1.0 (1983–2000),4.0,0.0,0.0,0.0,364.931,3.0
avenu-malkenu,1.0 (1983–2000),76.0,0.05263157894736842,0.013157894736842105,0.0,194.377,13.0
avenu-malkenu,2.0 (2003–2004),1.0,0.0,0.0,0.0,194.873,14.0
avenu-malkenu,3.0 (2009–2020),5.0,0.0,0.0,0.0,202.684,4.0
avenu-malkenu,4.0 (2021–present),2.0,0.0,0.0,0.0,201.6915,4.0
axilla,1.0 (1983–2000),56.0,0.07142857142857142,0.03571428571428571,0.0,243.0435,10.5
axilla,2.0 (2003–2004),5.0,0.0,0.0,0.0,210.26,6.0
axilla,3.0 (2009–2020),47.0,0.06382978723404255,0.0,0.0,209.998,8.0
axilla,4.0 (2021–present),5.0,0.0,0.0,0.0,362.784,2.0
axilla-part-ii,1.0 (1983–2000),38.0,0.07894736842105263,0.05263157894736842,0.0,236.2905,8.5
axilla-part-ii,4.0 (2021–present),23.0,0.17391304347826086,0.043478260869565216,0.043478260869565216,386.232,7.0
baby-elephant-walk,1.0 (1983–2000),2.0,0.0,0.0,0.0,336.614,28.0
baby-lemonade,1.0 (1983–2000),1.0,0.0,0.0,0.0,132.65,19.0
baby-lemonade,4.0 (2021–present),1.0,0.0,0.0,0.0,132.65,23.0
babylon-baby,3.0 (2009–2020),3.0,0.0,0.0,0.0,416.287,9.0
babylon-is-burning,1.0 (1983–2000),1.0,0.0,0.0,0.0,357.642,12.0
back-at-the-chicken-shack,1.0 (1983–2000),9.0,0.1111111111111111,0.1111111111111111,0.0,408.4375,3.0
back-in-the-bubble,4.0 (2021–present),1.0,0.0,0.0,0.0,399.624,4.0
back-in-the-u-s-s-r,1.0 (1983–2000),2.0,0.0,0.0,0.0,226.5865,18.0
back-in-the-u-s-s-r,3.0 (2009–2020),1.0,0.0,0.0,0.0,180.82,1.0
back-on-the-train,1.0 (1983–2000),44.0,0.022727272727272728,0.0,0.0,358.949,5.0
back-on-the-train,2.0 (2003–2004),6.0,0.3333333333333333,0.0,0.0,520.389,5.0
back-on-the-train,3.0 (2009–2020),83.0,0.0963855421686747,0.012048192771084338,0.0,466.756,6.0
back-on-the-train,4.0 (2021–present),38.0,0.05263157894736842,0.02631578947368421,0.0,472.704,4.0
back-porch-boogie-blues,1.0 (1983–2000),9.0,0.0,0.0,0.0,405.238,4.0
backwards-down-the-number-line,3.0 (2009–2020),112.0,0.09821428571428571,0.008928571428571428,0.008928571428571428,471.4185,16.0
backwards-down-the-number-line,4.0 (2021–present),33.0,0.06060606060606061,0.0,0.0,464.952,15.0
band-crew-football-theme-song,1.0 (1983–2000),2.0,0.0,0.0,0.0,272.144,12.5
basin-street-blues,1.0 (1983–2000),1.0,0.0,0.0,0.0,364.931,18.0
bathtub-gin,1.0 (1983–2000),166.0,0.463855421686747,0.21084337349397592,0.07228915662650602,569.6785,10.0
bathtub-gin,2.0 (2003–2004),11.0,1.0,0.7272727272727273,0.36363636363636365,1135.438,4.0
bathtub-gin,3.0 (2009–2020),102.0,0.8921568627450981,0.08823529411764706,0.00980392156862745,712.0195,9.0
bathtub-gin,4.0 (2021–present),41.0,0.8536585365853658,0.36585365853658536,0.04878048780487805,782.916,7.0
beaumont-rag,1.0 (1983–2000),4.0,0.0,0.0,0.0,180.16649999999998,18.5
beauty-of-a-broken-heart,3.0 (2009–2020),13.0,0.0,0.0,0.0,332.251,9.0
beauty-of-a-broken-heart,4.0 (2021–present),2.0,0.0,0.0,0.0,324.804,7.0
beauty-of-my-dreams,1.0 (1983–2000),48.0,0.041666666666666664,0.0,0.0,183.39249999999998,5.0
beauty-of-my-dreams,2.0 (2003–2004),1.0,0.0,0.0,0.0,233.378,2.0
beauty-of-my-dreams,3.0 (2009–2020),4.0,0.0,0.0,0.0,208.5095,4.5
beauty-of-my-dreams,4.0 (2021–present),4.0,0.0,0.0,0.0,210.024,5.0
been-caught-stealing,1.0 (1983–2000),5.0,0.0,0.0,0.0,274.991,17.0
been-caught-stealing,3.0 (2009–2020),1.0,0.0,0.0,0.0,201.979,15.0
bell-boy,1.0 (1983–2000),1.0,0.0,0.0,0.0,274.155,23.0
beneath-a-sea-of-stars-part-1,3.0 (2009–2020),5.0,0.4,0.0,0.0,571.22,16.0
beneath-a-sea-of-stars-part-1,4.0 (2021–present),16.0,0.4375,0.3125,0.125,571.22,13.5
bertha,1.0 (1983–2000),3.0,0.0,0.0,0.0,579.84,3.0
big-alligator,1.0 (1983–2000),1.0,0.0,0.0,0.0,187.011,7.0
big-ball-jam,1.0 (1983–2000),103.0,0.019417475728155338,0.0,0.0,167.34,18.0
big-balls,3.0 (2009–2020),1.0,0.0,0.0,0.0,189.884,14.0
big-black-furry-creature-from-mars,1.0 (1983–2000),119.0,0.03361344537815126,0.0,0.0,274.965,20.0
big-black-furry-creature-from-mars,2.0 (2003–2004),3.0,0.0,0.0,0.0,54.7,15.0
big-black-furry-creature-from-mars,3.0 (2009–2020),18.0,0.0,0.0,0.0,240.3005,9.0
big-black-furry-creature-from-mars,4.0 (2021–present),4.0,0.0,0.0,0.0,219.9735,13.0
big-leg-emma,1.0 (1983–2000),7.0,0.0,0.0,0.0,294.139,7.0
big-pimpin,2.0 (2003–2004),1.0,0.0,0.0,0.0,195.657,13.0
bike,1.0 (1983–2000),38.0,0.10526315789473684,0.05263157894736842,0.02631578947368421,335.7,19.0
bike,3.0 (2009–2020),5.0,0.0,0.0,0.0,306.469,20.0
bill-bailey-won-t-you-please-come-home,1.0 (1983–2000),6.0,0.0,0.0,0.0,273.92025,19.5
bill-bailey-won-t-you-please-come-home,2.0 (2003–2004),1.0,0.0,0.0,0.0,323.762,3.0
