role,cx,cy,r75,n
centerpiece,0.7557201582492608,0.48441286513631987,0.15286322601640345,4016
closer,0.45766039046716084,0.43477402060037246,0.296606380547931,3273
encore,0.7712257240184043,0.9102886175034414,0.08261263704213255,3052
landing,0.7800644020195894,0.30090165209819175,0.22512561376234103,3425
opener,0.196500610478902,0.6399018995081388,0.40719001475733024,3914
other,0.4223312340392505,0.47515748836900085,0.4213233069054792,21376
