venue_slug,song_slug,count_song_venue,count_venue,count_song,share_venue,share_global,affinity,affinity_log
1313-club,bathtub-gin,1,27,320,0.037037037037037035,0.00819336337566571,4.52037037037037,1.7084449541197513
23-east-cabaret,bathtub-gin,2,96,320,0.020833333333333332,0.00819336337566571,2.542708333333333,1.2648915005453134
aaron-s-amphitheatre-at-lakewood,bathtub-gin,1,56,320,0.017857142857142856,0.00819336337566571,2.1794642857142854,1.1567127189886373
aiko-s,bathtub-gin,1,24,320,0.041666666666666664,0.00819336337566571,5.085416666666666,1.8058951984858043
allstate-arena,bathtub-gin,1,122,320,0.00819672131147541,0.00819336337566571,1.0004098360655738,0.6933520775998999
alpine-valley-music-theatre,bathtub-gin,4,541,320,0.0073937153419593345,0.00819336337566571,0.9024029574861367,0.6431178015611075
american-airlines-arena,bathtub-gin,3,265,320,0.011320754716981131,0.00819336337566571,1.381698113207547,0.8678137262126484
ameris-bank-amphitheatre,bathtub-gin,2,89,320,0.02247191011235955,0.00819336337566571,2.742696629213483,1.319806375467494
armstrong-hall-colorado-college,bathtub-gin,1,54,320,0.018518518518518517,0.00819336337566571,2.260185185185185,1.1817839990367869
arrowhead-ranch,bathtub-gin,1,47,320,0.02127659574468085,0.00819336337566571,2.5968085106382977,1.2800469274438364
ascend-amphitheater,bathtub-gin,2,128,320,0.015625,0.00819336337566571,1.90703125,1.0671323714329597
assembly-hall-university-of-illinois,bathtub-gin,1,58,320,0.017241379310344827,0.00819336337566571,2.1043103448275864,1.1327915795484649
atlantic-city-beach,bathtub-gin,2,111,320,0.018018018018018018,0.00819336337566571,2.199099099099099,1.162869238636708
augusta-civic-center,bathtub-gin,1,24,320,0.041666666666666664,0.00819336337566571,5.085416666666666,1.8058951984858043
bailey-hall-cornell-university,bathtub-gin,1,25,320,0.04,0.00819336337566571,4.882000000000001,1.7718968401318034
barcela3-maya-beach,bathtub-gin,2,178,320,0.011235955056179775,0.00819336337566571,1.3713483146067416,0.8634587024963679
bethel-woods-center-for-the-arts,bathtub-gin,3,169,320,0.01775147928994083,0.00819336337566571,2.1665680473372784,1.1526483665073113
big-cypress-seminole-indian-reservation,bathtub-gin,1,91,320,0.01098901098901099,0.00819336337566571,1.3412087912087913,0.8506673734290711
billings-lounge-university-of-vermont,bathtub-gin,1,62,320,0.016129032258064516,0.00819336337566571,1.9685483870967742,1.0880730747799385
blossom-music-center,bathtub-gin,4,164,320,0.024390243902439025,0.00819336337566571,2.976829268292683,1.3804848355310204
boardwalk-hall,bathtub-gin,2,167,320,0.011976047904191617,0.00819336337566571,1.461676646706587,0.9008426814870776
bob-carpenter-center-university-of-delaware,bathtub-gin,1,51,320,0.0196078431372549,0.00819336337566571,2.3931372549019607,1.2217549373570273
bonnaroo-music-arts-festival,bathtub-gin,2,110,320,0.01818181818181818,0.00819336337566571,2.219090909090909,1.1690989933254416
boston-world-trade-center-exhibition-hall,bathtub-gin,1,41,320,0.024390243902439025,0.00819336337566571,2.976829268292683,1.3804848355310204
broadview-stage-at-spac,bathtub-gin,1,85,320,0.011764705882352941,0.00819336337566571,1.4358823529411764,0.8903090535012598
broome-county-veterans-memorial-arena,bathtub-gin,1,42,320,0.023809523809523808,0.00819336337566571,2.905952380952381,1.3625016411237423
bryce-jordan-center-penn-state-university,bathtub-gin,1,36,320,0.027777777777777776,0.00819336337566571,3.3902777777777775,1.4793925002055166
buena-vista-theater,bathtub-gin,1,25,320,0.04,0.00819336337566571,4.882000000000001,1.7718968401318034
campus-club,bathtub-gin,1,128,320,0.0078125,0.00819336337566571,0.953515625,0.6696306339452955
campus-recreation-center-evergreen-college,bathtub-gin,2,70,320,0.02857142857142857,0.00819336337566571,3.487142857142857,1.5012161644952418
celebrity-theatre,bathtub-gin,1,33,320,0.030303030303030304,0.00819336337566571,3.6984848484848487,1.5472400840799776
chaifetz-arena-saint-louis-university,bathtub-gin,1,100,320,0.01,0.00819336337566571,1.2205000000000001,0.79773239575002
champlain-valley-exposition,bathtub-gin,1,21,320,0.047619047619047616,0.00819336337566571,5.811904761904762,1.9186717817726961
chase-center,bathtub-gin,1,30,320,0.03333333333333333,0.00819336337566571,4.068333333333333,1.6230120324612183
cheel-arena-clarkson-university,bathtub-gin,1,25,320,0.04,0.00819336337566571,4.882000000000001,1.7718968401318034
civic-arena,bathtub-gin,1,40,320,0.025,0.00819336337566571,3.05125,1.39902547547362
civic-center,bathtub-gin,1,48,320,0.020833333333333332,0.00819336337566571,2.542708333333333,1.2648915005453134
clement-s-brew-pub,bathtub-gin,1,22,320,0.045454545454545456,0.00819336337566571,5.547727272727273,1.8791180081722216
climate-pledge-arena,bathtub-gin,1,69,320,0.014492753623188406,0.00819336337566571,1.768840579710145,1.0184286692956495
cmac-performing-arts-center,bathtub-gin,1,40,320,0.025,0.00819336337566571,3.05125,1.39902547547362
collis-center-dartmouth-college,bathtub-gin,1,47,320,0.02127659574468085,0.00819336337566571,2.5968085106382977,1.2800469274438364
compton-terrace-amphitheater,bathtub-gin,1,21,320,0.047619047619047616,0.00819336337566571,5.811904761904762,1.9186717817726961
congress-center,bathtub-gin,1,23,320,0.043478260869565216,0.00819336337566571,5.306521739130434,1.8415842946382632
corestates-spectrum,bathtub-gin,2,96,320,0.020833333333333332,0.00819336337566571,2.542708333333333,1.2648915005453134
cumberland-county-civic-center,bathtub-gin,2,118,320,0.01694915254237288,0.00819336337566571,2.06864406779661,1.1212357923059306
darien-lake-performing-arts-center,bathtub-gin,1,111,320,0.009009009009009009,0.00819336337566571,1.0995495495495495,0.7417228215064158
darling-s-waterfront-pavilion,bathtub-gin,1,61,320,0.01639344262295082,0.00819336337566571,2.0008196721311475,1.098885475392934
dcu-center,bathtub-gin,2,127,320,0.015748031496062992,0.00819336337566571,1.9220472440944882,1.0722844816079606
deer-creek-music-center,bathtub-gin,3,228,320,0.013157894736842105,0.00819336337566571,1.6059210526315788,0.9577861837815944
dick-s-sporting-goods-park,bathtub-gin,12,846,320,0.014184397163120567,0.00819336337566571,1.7312056737588652,1.004743150442695
dining-center-haverford-college,bathtub-gin,1,27,320,0.037037037037037035,0.00819336337566571,4.52037037037037,1.7084449541197513
dining-commons-bennington-college,bathtub-gin,1,21,320,0.047619047619047616,0.00819336337566571,5.811904761904762,1.9186717817726961
dionysus-club-the-sco-oberlin-college,bathtub-gin,1,42,320,0.023809523809523808,0.00819336337566571,2.905952380952381,1.3625016411237423
dunkin-donuts-center,bathtub-gin,1,75,320,0.013333333333333334,0.00819336337566571,1.6273333333333335,0.9659693901047023
e-centre,bathtub-gin,2,51,320,0.0392156862745098,0.00819336337566571,4.786274509803921,1.7554886492245678
eagles-ballroom,bathtub-gin,1,26,320,0.038461538461538464,0.00819336337566571,4.69423076923077,1.7394535165261182
east-gym-humboldt-state-university,bathtub-gin,1,26,320,0.038461538461538464,0.00819336337566571,4.69423076923077,1.7394535165261182
el-dorado-cafa-c,bathtub-gin,1,81,320,0.012345679012345678,0.00819336337566571,1.50679012345679,0.9190030994598679
elk-ballroom,bathtub-gin,1,53,320,0.018867924528301886,0.00819336337566571,2.3028301886792453,1.1947797338485528
empire-polo-club,bathtub-gin,1,108,320,0.009259259259259259,0.00819336337566571,1.1300925925925924,0.7561654494772578
ervin-j-nutter-center-wright-state-university,bathtub-gin,2,93,320,0.021505376344086023,0.00819336337566571,2.624731182795699,1.2877801290867592
fenway-park,bathtub-gin,1,64,320,0.015625,0.00819336337566571,1.90703125,1.0671323714329597
firstmerit-bank-pavilion-at-northerly-island,bathtub-gin,2,120,320,0.016666666666666666,0.00819336337566571,2.0341666666666667,1.1099368123993418
