show_id,date,venue_slug,is_nye,is_halloween,is_bakers_dozen,is_dicks,is_festival,perf_count,median_energy,longest_jam_sec,longest_jam_song,longest_jam_sec_exact
2015-12-31_madison-square-garden,2015-12-31,madison-square-garden,1,0,0,0,0,26,-0.13066426044397406,995.579,piper,995.579
2016-10-31_mgm-grand-garden-arena,2016-10-31,mgm-grand-garden-arena,0,1,0,0,0,31,0.2591647382593366,929.384,petrichor,929.384
2016-12-31_madison-square-garden,2016-12-31,madison-square-garden,1,0,0,0,0,29,0.0909753725121793,891.664,divided sky,891.664
2017-07-21_madison-square-garden,2017-07-21,madison-square-garden,0,0,1,0,0,19,0.2032454474729537,951.145,tweezer,951.145
2017-07-22_madison-square-garden,2017-07-22,madison-square-garden,0,0,1,0,0,20,-0.17033537681847044,1128.072,down with disease,1128.072
2017-07-23_madison-square-garden,2017-07-23,madison-square-garden,0,0,1,0,0,17,0.003855944715053697,963.84,twist,963.84
2017-07-25_madison-square-garden,2017-07-25,madison-square-garden,0,0,1,0,0,14,0.21616966169989474,1458.43914,lawn boy,1458.43914
2017-07-26_madison-square-garden,2017-07-26,madison-square-garden,0,0,1,0,0,17,0.12497102193206033,951.85,carini,951.85
2017-07-28_madison-square-garden,2017-07-28,madison-square-garden,0,0,1,0,0,20,0.13121563580198295,1458.43914,chalk dust torture,1458.43914
2017-07-29_madison-square-garden,2017-07-29,madison-square-garden,0,0,1,0,0,21,0.36318733748406107,1398.256,blaze on,1398.256
2017-07-30_madison-square-garden,2017-07-30,madison-square-garden,0,0,1,0,0,17,0.35774916488634045,1335.768,drowned,1335.768
2017-08-01_madison-square-garden,2017-08-01,madison-square-garden,0,0,1,0,0,21,0.3981570591162076,1207.876,golden age,1207.876
2017-08-02_madison-square-garden,2017-08-02,madison-square-garden,0,0,1,0,0,19,-0.008836154555992959,1344.104,mike s song,1344.104
2017-08-04_madison-square-garden,2017-08-04,madison-square-garden,0,0,1,0,0,18,0.5441967957039993,1042.077,fluffhead,1042.077
2017-08-05_madison-square-garden,2017-08-05,madison-square-garden,0,0,1,0,0,20,0.3757873121103079,1243.611,ghost,1243.611
2017-08-06_madison-square-garden,2017-08-06,madison-square-garden,0,0,1,0,0,20,0.18472545443052268,1458.43914,simple,1458.43914
2017-12-31_madison-square-garden,2017-12-31,madison-square-garden,1,0,0,0,0,24,-0.15075844308421987,1244.317,you enjoy myself,1244.317
2018-10-31_mgm-grand-garden-arena,2018-10-31,mgm-grand-garden-arena,0,1,0,0,0,28,0.4081035099026844,928.679,tweezer,928.679
2018-12-31_madison-square-garden,2018-12-31,madison-square-garden,1,0,0,0,0,29,0.0915934793169172,1077.744,down with disease,1077.744
2019-12-31_madison-square-garden,2019-12-31,madison-square-garden,1,0,0,0,0,26,0.1736452686014303,947.383,drift while you re sleeping,947.383
2021-10-31_mgm-grand-garden-arena,2021-10-31,mgm-grand-garden-arena,0,1,0,0,0,26,0.47264016113440044,1563.1822799999998,ghost,1563.1822799999998
2021-12-31_rock-lititz,2021-12-31,rock-lititz,1,0,0,0,0,25,0.1838932414647893,1063.21,you enjoy myself,1063.21
2022-12-31_madison-square-garden,2022-12-31,madison-square-garden,1,0,0,0,0,34,0.318941354219492,822.192,tweezer,822.192
2023-12-31_madison-square-garden,2023-12-31,madison-square-garden,1,0,0,0,0,30,0.1802245892433872,1199.496,you enjoy myself,1199.496
2024-12-31_madison-square-garden,2024-12-31,madison-square-garden,1,0,0,0,0,29,0.09098283582993599,1195.56,my friend my friend,1195.56
