song_slug,era_label,x_umap,y_umap,n
bittersweet-motel,1.0 (1983–2000),0.11638749583748799,0.529987481612587,3
bittersweet-motel,2.0 (2003–2004),0.015496754660511558,0.4957260146335007,1
bittersweet-motel,3.0 (2009–2020),0.1741106115561319,0.11629921051918324,4
bittersweet-motel,4.0 (2021–present),0.09422430428869602,0.1451548094536117,1
blaze-on,3.0 (2009–2020),0.4938295276612751,0.5045909838786768,6
blaze-on,4.0 (2021–present),0.5006693542809754,0.54862873053361,5
bliss,3.0 (2009–2020),0.07445326156921019,0.7666405593799598,1
bliss,4.0 (2021–present),0.10926511766645655,0.3911606944485575,1
blister-in-the-sun,1.0 (1983–2000),0.0034902359529456785,0.5498124031756639,2
blister-in-the-sun,3.0 (2009–2020),0.06849557686516573,0.07054857705679494,1
bohemian-rhapsody,1.0 (1983–2000),0.21107292885079032,0.0578017140804406,1
bohemian-rhapsody,4.0 (2021–present),0.16753271999453945,0.11904413671825223,1
bold-as-love,1.0 (1983–2000),0.18899258771969302,0.2671584052647427,12
bold-as-love,3.0 (2009–2020),0.15270504281474614,0.24792851766942,9
bold-as-love,4.0 (2021–present),0.12375715915672371,0.39379840287003803,3
boogie-on-reggae-woman,1.0 (1983–2000),0.24987428014248694,0.6125626273857612,6
boogie-on-reggae-woman,2.0 (2003–2004),0.4031987211992152,0.6543473072170896,2
boogie-on-reggae-woman,3.0 (2009–2020),0.24166460621339483,0.26289796159072176,11
boogie-on-reggae-woman,4.0 (2021–present),0.25497083027631373,0.46455536014736243,5
boogie-on-reggae-woman,Other/Hiatus,0.9999978676128342,0.5068331603979347,1
bouncing-around-the-room,1.0 (1983–2000),0.5980898198791015,0.5727531605243878,11
bouncing-around-the-room,2.0 (2003–2004),0.3160060968639741,0.6943330528895941,2
bouncing-around-the-room,3.0 (2009–2020),0.2944046169739536,0.6890304393420741,11
bouncing-around-the-room,4.0 (2021–present),0.22413312361852322,0.7381212116675815,5
breath-and-burning,3.0 (2009–2020),0.4119154944807977,0.6618401736609539,5
breath-and-burning,4.0 (2021–present),0.3664227263591,0.752544437671871,1
brian-and-robert,1.0 (1983–2000),0.22890202810728227,0.282817074988381,3
brian-and-robert,2.0 (2003–2004),0.16687644708867744,0.7567978860396711,2
brian-and-robert,3.0 (2009–2020),0.14546097504920433,0.7827116732300605,10
brian-and-robert,4.0 (2021–present),0.11082811645154947,0.7138206539584757,4
brother,1.0 (1983–2000),0.22782574925575072,0.5526280117502781,6
brother,2.0 (2003–2004),0.16963348016800997,0.4623661300330698,1
brother,3.0 (2009–2020),0.31134365539261954,0.8279659668342464,5
brother,4.0 (2021–present),0.18668044954248095,0.23601046845324067,1
buffalo-bill,1.0 (1983–2000),0.13102708724258166,0.1726000093724028,6
buffalo-bill,2.0 (2003–2004),0.020345567282750908,0.5734809745569482,2
buffalo-bill,3.0 (2009–2020),0.13687762461747485,0.5589328877846769,7
buffalo-bill,4.0 (2021–present),0.11511802834725786,0.07970447549435125,3
bug,1.0 (1983–2000),0.526601714426979,0.4985176226974677,2
bug,2.0 (2003–2004),0.2798871105007745,0.3327639340968322,2
bug,3.0 (2009–2020),0.24253473807345094,0.27809208632150345,11
bug,4.0 (2021–present),0.2415620517181392,0.32128197934384717,5
buried-alive,1.0 (1983–2000),0.26651525209911475,0.8114908540736874,10
buried-alive,2.0 (2003–2004),0.12706775815022467,0.7703740276771331,2
buried-alive,3.0 (2009–2020),0.25646909368275994,0.9834938318571411,11
buried-alive,4.0 (2021–present),0.24655264502021676,0.9854413483540345,5
bye-bye-foot,1.0 (1983–2000),0.1505585183321017,0.6949967919511144,1
bye-bye-foot,3.0 (2009–2020),0.15893105973839589,0.8303695046559596,1
bye-bye-foot,4.0 (2021–present),0.23429185195795482,0.9479106863941489,1
camel-walk,1.0 (1983–2000),0.2175346975785985,0.5434559173264812,11
camel-walk,2.0 (2003–2004),0.2014156087993038,0.7517679136440938,2
camel-walk,3.0 (2009–2020),0.2580820113438486,0.8021507153965286,11
camel-walk,4.0 (2021–present),0.27060663477708996,0.6447054187783436,4
carini,1.0 (1983–2000),0.3279996623446938,0.6633024730544581,4
carini,2.0 (2003–2004),0.30950862282522396,0.6118003293265226,2
carini,3.0 (2009–2020),0.44470275660865227,0.4224031935625726,12
carini,4.0 (2021–present),0.46110729821604696,0.44465600794497095,5
carini,Other/Hiatus,0.572737499797782,0.48979824880186895,1
carolina,1.0 (1983–2000),0.12528479927193742,0.5621861250409635,9
carolina,2.0 (2003–2004),0.10243221105318377,0.17897054104101268,1
carolina,3.0 (2009–2020),0.20415464473599415,0.9979802146531288,2
carolina,4.0 (2021–present),0.060680357398750925,0.08063044192692324,1
cars-trucks-buses,1.0 (1983–2000),0.4110388872888011,0.715361707569968,6
cars-trucks-buses,2.0 (2003–2004),0.2568925942316754,0.8680542115398733,2
cars-trucks-buses,3.0 (2009–2020),0.33004209070842844,0.8548211086780779,8
cars-trucks-buses,4.0 (2021–present),0.3080689955806481,0.9264200364119708,5
catapult,1.0 (1983–2000),0.15224351426754623,0.5211436014359674,9
catapult,2.0 (2003–2004),0.21169552695500382,0.7561659694469897,2
catapult,3.0 (2009–2020),0.13748706702058006,0.05485652018211657,3
catapult,4.0 (2021–present),0.22605598836749996,0.49278750368608326,1
cavern,1.0 (1983–2000),0.5453619543705643,0.5486523010108946,11
cavern,2.0 (2003–2004),0.26356279803826943,0.41511072847698127,2
cavern,3.0 (2009–2020),0.3160386311460447,0.5281025059136562,12
cavern,4.0 (2021–present),0.1955032527003249,0.6458323328277845,5
chalk-dust-torture,1.0 (1983–2000),0.5745821889778506,0.5653879326315778,10
chalk-dust-torture,2.0 (2003–2004),0.48736574444270686,0.5458723852053833,2
chalk-dust-torture,3.0 (2009–2020),0.5308327806384002,0.49140733485359034,12
chalk-dust-torture,4.0 (2021–present),0.5090003653968431,0.4363470079138691,5
chalk-dust-torture,Other/Hiatus,0.5870059994507872,0.6151805542725581,1
chalk-dust-torture-reprise,1.0 (1983–2000),0.12868590041616612,0.11378905929109395,2
chalk-dust-torture-reprise,3.0 (2009–2020),0.16458496128620345,0.036541608470755334,1
chalk-dust-torture-reprise,4.0 (2021–present),0.22074444260434925,0.9557663499033169,1
character-zero,1.0 (1983–2000),0.5553972964324281,0.5538587498004994,5
character-zero,2.0 (2003–2004),0.42212548725303034,0.4141157416896982,2
character-zero,3.0 (2009–2020),0.5876361813694523,0.467611491030736,11
character-zero,4.0 (2021–present),0.30293891417123203,0.2598708347142828,5
character-zero,Other/Hiatus,0.5959380156878493,0.4875495462357692,1
cinnamon-girl,1.0 (1983–2000),0.14213016579248702,0.3735407980089595,2
cinnamon-girl,3.0 (2009–2020),0.1824981719393391,0.10848453964975015,1
cinnamon-girl,4.0 (2021–present),0.07626025465500631,0.4792511575684547,1
cities,1.0 (1983–2000),0.3152769024681582,0.5705171729987956,11
cities,2.0 (2003–2004),0.28039185576959685,0.7764055942644986,2
cities,3.0 (2009–2020),0.28421011059943846,0.6201244967505517,11
cities,4.0 (2021–present),0.369104654302006,0.528450007738276,5
colonel-forbin-s-ascent,1.0 (1983–2000),0.3595122131552254,0.6010717523915318,12
colonel-forbin-s-ascent,3.0 (2009–2020),0.3118825406413003,0.7839691605176933,6
colonel-forbin-s-ascent,4.0 (2021–present),0.28375891560813293,0.504704628911659,2
come-together,1.0 (1983–2000),0.22638911363247213,0.44914699163303845,2
come-together,3.0 (2009–2020),0.27696090504949483,0.422058998345836,1
contact,1.0 (1983–2000),0.2297582635692458,0.25054468955519626,13
contact,2.0 (2003–2004),0.21105784323677837,0.3587597623638834,2
contact,3.0 (2009–2020),0.20704361414528047,0.19201818329825734,11
contact,4.0 (2021–present),0.1899784835983853,0.19323774629231047,3
cool-amber-and-mercury,3.0 (2009–2020),0.20876947143719676,0.431683299727582,2
cool-amber-and-mercury,4.0 (2021–present),0.33215275674295164,0.8032994158659251,2
cool-it-down,1.0 (1983–2000),0.2173384545259518,0.3948880841660367,2
cool-it-down,2.0 (2003–2004),0.3470854603980744,0.7368770437916687,1
cool-it-down,3.0 (2009–2020),0.2216954513987855,0.7209141123885917,5
cool-it-down,4.0 (2021–present),0.17979991278126417,0.8198118834164212,3
corinna,1.0 (1983–2000),0.26379088080937874,0.5173334825975261,5
corinna,2.0 (2003–2004),0.322446011186298,0.905176248825021,1
corinna,3.0 (2009–2020),0.15372612308167427,0.7145367641100571,6
corinna,4.0 (2021–present),0.2628499521576385,0.8551157628891808,2
cracklin-rosie,1.0 (1983–2000),0.14943530389623427,0.17478486360666703,7
cracklin-rosie,3.0 (2009–2020),0.03748332714155079,0.6011862923588093,1
cracklin-rosie,4.0 (2021–present),0.026494254416055924,0.46162923880979967,1
crazy-sometimes,3.0 (2009–2020),0.3610196571035322,0.6594867056696854,3
crazy-sometimes,4.0 (2021–present),0.2618687003721487,0.725746943543686,1
crimes-of-the-mind,1.0 (1983–2000),0.20259800723088386,0.2066637016834853,3
crimes-of-the-mind,2.0 (2003–2004),0.17246972938018004,0.22037047467175552,1
crimes-of-the-mind,3.0 (2009–2020),0.1470642175161212,0.38926298482251875,2
crosseyed-and-painless,1.0 (1983–2000),0.39110917266638057,0.4236946709196424,4
crosseyed-and-painless,2.0 (2003–2004),0.40923775954919367,0.41046214627838207,2
crosseyed-and-painless,3.0 (2009–2020),0.3477258403558413,0.41830964787055147,12
crosseyed-and-painless,4.0 (2021–present),0.32582461205777596,0.42574182730892235,5
crowd-control,2.0 (2003–2004),0.23842646417237923,0.5339568261148243,2
crowd-control,3.0 (2009–2020),0.31189680995085034,0.9605346063188684,11
crowd-control,4.0 (2021–present),0.3112160197185122,0.9766875892232059,3
cry-baby-cry,1.0 (1983–2000),0.2073838170390488,0.8454567951524222,3
cry-baby-cry,3.0 (2009–2020),0.11311512219060298,0.8042925604832627,1
daniel-saw-the-stone,1.0 (1983–2000),0.14203175433070916,0.374677556335649,2
daniel-saw-the-stone,2.0 (2003–2004),0.2547202004583361,0.9960740510941931,1
daniel-saw-the-stone,3.0 (2009–2020),0.22462837822667853,0.9551603980277229,4
daniel-saw-the-stone,4.0 (2021–present),0.14860157126998685,0.8354260926299302,1
david-bowie,1.0 (1983–2000),0.545214696633787,0.43527228480537783,15
david-bowie,2.0 (2003–2004),0.4771779520762798,0.4435772314814733,2
david-bowie,3.0 (2009–2020),0.5044093460807165,0.4494099279780124,12
david-bowie,4.0 (2021–present),0.3526406365208496,0.46561404417367785,5
david-bowie,Other/Hiatus,0.5639665403029068,0.514952655186372,1
dear-prudence,1.0 (1983–2000),0.00963627810601618,0.5222065044382465,1
dear-prudence,3.0 (2009–2020),0.07063717020248923,0.5122543701733695,1
death-don-t-hurt-very-long,3.0 (2009–2020),0.24263142306473864,0.3170059941769299,2
death-don-t-hurt-very-long,4.0 (2021–present),0.14901219932546442,0.2725870287572375,3
demand,1.0 (1983–2000),0.18545734096938443,0.5540210699611282,3
demand,3.0 (2009–2020),0.10980153862395949,0.7951843260138245,2
destiny-unbound,1.0 (1983–2000),0.22002291740176785,0.27809219746188263,2
destiny-unbound,2.0 (2003–2004),0.35042694696841287,0.8206379658836169,1
destiny-unbound,3.0 (2009–2020),0.27163435935146274,0.6852359992875858,10
destiny-unbound,4.0 (2021–present),0.2825699220259827,0.7054072488004277,5
devotion-to-a-dream,3.0 (2009–2020),0.37588403947112203,0.6459295087452281,4
devotion-to-a-dream,4.0 (2021–present),0.3113150732031086,0.7891121038399004,1
dinner-and-a-movie,1.0 (1983–2000),0.1836229805396502,0.5891717413315385,12
dinner-and-a-movie,2.0 (2003–2004),0.265131496217545,0.9598154975562715,1
dinner-and-a-movie,3.0 (2009–2020),0.25895573648131637,0.9512285216350249,6
dinner-and-a-movie,4.0 (2021–present),0.2485973038045416,0.956290130539068,2
dirt,1.0 (1983–2000),0.48395484251900456,0.6760323439017247,4
dirt,2.0 (2003–2004),0.43612864822995157,0.7312541135015646,1
dirt,3.0 (2009–2020),0.11855753296419388,0.47082324750130855,10
dirt,4.0 (2021–present),0.2420105552754633,0.7955146265039371,5
divided-sky,1.0 (1983–2000),0.45476775730547125,0.4979377982542877,14
divided-sky,2.0 (2003–2004),0.42669032844113824,0.4691574551583292,2
divided-sky,3.0 (2009–2020),0.4191687069066852,0.4745217261920397,12
divided-sky,4.0 (2021–present),0.40246704072701606,0.4941585778940815,5
divided-sky,Other/Hiatus,0.4843198702950902,0.40088857212605566,1
dog-faced-boy,1.0 (1983–2000),0.08615373145917551,0.6875810177044038,7
dog-faced-boy,2.0 (2003–2004),0.0963372282956869,0.7210426923640347,2
dog-faced-boy,3.0 (2009–2020),0.09989477284448413,0.7298227765101737,7
dog-faced-boy,4.0 (2021–present),0.01599433900416412,0.5919933878070154,1
dog-log,1.0 (1983–2000),0.13276305030684743,0.567786763331348,13
dog-log,2.0 (2003–2004),0.18241945814770885,0.050863811502383616,1
dog-log,3.0 (2009–2020),0.2685180973853427,0.9060712993455728,2
dog-log,4.0 (2021–present),0.27261247784674475,0.9597641492482621,2
dogs-stole-things,1.0 (1983–2000),0.2460885637595347,0.7997703993764005,4
dogs-stole-things,2.0 (2003–2004),0.18897656918629602,0.7845896870375253,1
dogs-stole-things,3.0 (2009–2020),0.33203693762056063,0.9330583103389458,5
dogs-stole-things,4.0 (2021–present),0.2351668585780943,0.9043381719137633,3
down-with-disease,1.0 (1983–2000),0.4672599220641196,0.4742807970949643,8
down-with-disease,2.0 (2003–2004),0.48432006508045633,0.40184097689354037,2
down-with-disease,3.0 (2009–2020),0.49538425319423907,0.40716315986469337,11
down-with-disease,4.0 (2021–present),0.4605996055370795,0.4094836140784834,5
drift-while-you-re-sleeping,3.0 (2009–2020),0.48971582475886444,0.435054600754934,2
drift-while-you-re-sleeping,4.0 (2021–present),0.35749482111844894,0.5083318847795107,5
driver,1.0 (1983–2000),0.2645399099939881,0.72772723555633,3
driver,2.0 (2003–2004),0.16786361932411079,0.8620189373675701,1
driver,3.0 (2009–2020),0.10146351267194653,0.7039850238673165,7
driver,4.0 (2021–present),0.15293872886883772,0.80920963168735,2
drowned,1.0 (1983–2000),0.3871298665406535,0.43700333180551393,5
drowned,2.0 (2003–2004),0.40637510410508926,0.4114550003326366,2
drowned,3.0 (2009–2020),0.35659512545315536,0.41898152269839284,10
drowned,4.0 (2021–present),0.3099596054107766,0.4530402289469729,2
drums,1.0 (1983–2000),0.29086647343206545,0.5874386255222523,6
drums,2.0 (2003–2004),0.1388826426575728,0.2429575760697638,1
drums,3.0 (2009–2020),0.0585334741009584,0.09774212028949009,1
emotional-rescue,1.0 (1983–2000),0.3617388969419538,0.47007297875370196,3
emotional-rescue,3.0 (2009–2020),0.17309369867085234,0.6788208661857514,2
end-of-session,3.0 (2009–2020),0.04684985827109206,0.6000036773663772,1
end-of-session,4.0 (2021–present),0.08848289285219926,0.7205148554676464,1
energy,3.0 (2009–2020),0.25330113011803934,0.5085302580074653,3
energy,4.0 (2021–present),0.38382420509988685,0.5096931612003538,3
esther,1.0 (1983–2000),0.35294358927631514,0.5970608312177629,11
esther,3.0 (2009–2020),0.3423331511099147,0.6041237689016515,6
esther,4.0 (2021–present),0.3341391099879354,0.5598428964927362,4
evening-song,3.0 (2009–2020),0.4083087442011115,0.8360005590898616,2
evening-song,4.0 (2021–present),0.3131754067236341,0.9564622601093754,3
everything-is-hollow,3.0 (2009–2020),0.18987156437314961,0.6509214289994696,2
everything-is-hollow,4.0 (2021–present),0.3351159970434452,0.9568011263991717,1
everything-s-right,3.0 (2009–2020),0.48080520928242076,0.4767025648444983,4
everything-s-right,4.0 (2021–present),0.48110256964750675,0.44821224438410134,5
farmhouse,1.0 (1983–2000),0.3297464026782291,0.6757124804375498,4
farmhouse,2.0 (2003–2004),0.17336080066709272,0.2510789362731933,1
farmhouse,3.0 (2009–2020),0.2163009603882224,0.5495052779970431,12
farmhouse,4.0 (2021–present),0.23839183274391623,0.45846586690379093,5
fast-enough-for-you,1.0 (1983–2000),0.31552963391771743,0.701726907057331,9
fast-enough-for-you,2.0 (2003–2004),0.22407369445915704,0.4723398084439068,2
fast-enough-for-you,3.0 (2009–2020),0.2212385925744415,0.5606673518066678,8
fast-enough-for-you,4.0 (2021–present),0.2576056022198642,0.8285465816090118,3
fat-man-in-the-bathtub,3.0 (2009–2020),0.1018824447351371,0.5698098262297943,1
fat-man-in-the-bathtub,4.0 (2021–present),0.31475139461708795,0.9774596037119364,1
fee,1.0 (1983–2000),0.49308987636685764,0.6002176945107147,14
fee,2.0 (2003–2004),0.34731256988309456,0.6808334455681668,1
fee,3.0 (2009–2020),0.18280061210173595,0.44409503523460925,11
fee,4.0 (2021–present),0.14653597498102944,0.23240687604285995,5
fikus,1.0 (1983–2000),0.19693317207292083,0.7358739735394195,1
fikus,4.0 (2021–present),0.22444420610005844,0.9163306169016873,1
fire,1.0 (1983–2000),0.23778293881539456,0.19958764217077307,15
fire,2.0 (2003–2004),0.22338847742502194,0.49779729938118433,2
fire,3.0 (2009–2020),0.18642552675755297,0.08254846045964104,9
fire,4.0 (2021–present),0.1557623529137256,0.14202738601221881,2
first-tube,1.0 (1983–2000),0.5688372201454571,0.5944016095056248,2
first-tube,2.0 (2003–2004),0.2337212641094574,0.36721962138561026,1
first-tube,3.0 (2009–2020),0.28724871549655323,0.28595574031545107,11
first-tube,4.0 (2021–present),0.31842226580447963,0.28211291860202986,5
five-years,3.0 (2009–2020),0.07204589897762492,0.5077525368597867,1
five-years,4.0 (2021–present),0.1284241857730778,0.6356213184785708,1
fluffhead,1.0 (1983–2000),0.44895397285360417,0.46502174876297997,16
fluffhead,3.0 (2009–2020),0.4146125234155077,0.4104087407837458,10
fluffhead,4.0 (2021–present),0.407581233032785,0.43663288711986853,5
fly-famous-mockingbird,1.0 (1983–2000),0.23857981856296748,0.6073010181004994,12
fly-famous-mockingbird,3.0 (2009–2020),0.31913483552559474,0.7307480223463001,6
fly-famous-mockingbird,4.0 (2021–present),0.2479544493037356,0.5189589564071229,2
foam,1.0 (1983–2000),0.458649696377798,0.5937700067210728,12
foam,2.0 (2003–2004),0.3824006213776201,0.5976606231559995,1
foam,3.0 (2009–2020),0.3432953677517982,0.6972457269676804,9
foam,4.0 (2021–present),0.3279284016562825,0.673831921297479,5
frankenstein,1.0 (1983–2000),0.19657863195102088,0.29880848883765887,9
frankenstein,2.0 (2003–2004),0.24296916454362577,0.43504884760589274,2
frankenstein,3.0 (2009–2020),0.16792905695526156,0.15335297710237383,9
frankenstein,4.0 (2021–present),0.1307682379947474,0.2240733321481459,2
frankie-says,1.0 (1983–2000),0.2311759781008759,0.6595048368060581,3
frankie-says,2.0 (2003–2004),0.34568647089124416,0.6372348966355538,1
frankie-says,3.0 (2009–2020),0.11298309871982752,0.4557978585640261,5
frankie-says,4.0 (2021–present),0.1832242129266704,0.49052507491994757,2
free,1.0 (1983–2000),0.4721002153895571,0.4934705884376628,6
free,2.0 (2003–2004),0.48965198641808805,0.5022999578939226,2
free,3.0 (2009–2020),0.4936843305486339,0.5685379967483899,12
free,4.0 (2021–present),0.5013926641083625,0.6177818609510134,5
free-bird,1.0 (1983–2000),0.21039954302532962,0.2784839426007274,6
free-bird,3.0 (2009–2020),0.18337096415742177,0.07229174634874944,1
friday,2.0 (2003–2004),0.320892371069157,0.28445919878903536,2
